ExifTool Version Number         : 11.88
File Name                       : DJI_0191.JPG
Directory                       : ./jpg_set
File Size                       : 4.9 MB
File Modification Date/Time     : 2022:04:08 18:37:24+02:00
File Access Date/Time           : 2022:04:12 19:59:09+02:00
File Inode Change Date/Time     : 2022:04:12 19:40:35+02:00
File Permissions                : rwxrwxrwx
File Type                       : JPEG
File Type Extension             : jpg
MIME Type                       : image/jpeg
Exif Byte Order                 : Little-endian (Intel, II)
Image Description               : DCIM\100MEDIA\DJI_0191.JPG
Camera Model Name               : FC330
Orientation                     : Horizontal (normal)
X Resolution                    : 72
Y Resolution                    : 72
Resolution Unit                 : inches
Software                        : v01.19.5266
Modify Date                     : 2017:09:23 15:57:26
Y Cb Cr Positioning             : Centered
Exposure Time                   : 1/690
F Number                        : 2.8
Exposure Program                : Program AE
ISO                             : 100
Exif Version                    : 0230
Date/Time Original              : 2017:09:23 15:57:26
Create Date                     : 2017:09:23 15:57:26
Components Configuration        : -, Cr, Cb, Y
Compressed Bits Per Pixel       : 3.227072667
Shutter Speed Value             : 1/689
Aperture Value                  : 2.8
Exposure Compensation           : 0
Max Aperture Value              : 2.8
Subject Distance                : 0 m
Metering Mode                   : Center-weighted average
Light Source                    : Unknown
Flash                           : No flash function
Focal Length                    : 3.6 mm
Make                            : DJI
Speed X                         : +0.00
Speed Y                         : +0.00
Speed Z                         : +0.00
Pitch                           : +0.60
Yaw                             : +92.80
Roll                            : +0.10
Camera Pitch                    : -6.60
Camera Yaw                      : +93.00
Camera Roll                     : +0.00
Flashpix Version                : 0010
Color Space                     : sRGB
Exif Image Width                : 4000
Exif Image Height               : 3000
Interoperability Index          : R98 - DCF basic file (sRGB)
Interoperability Version        : 0100
Exposure Index                  : undef
File Source                     : Digital Camera
Scene Type                      : Unknown (0)
Custom Rendered                 : Normal
Exposure Mode                   : Auto
White Balance                   : Auto
Digital Zoom Ratio              : undef
Focal Length In 35mm Format     : 20 mm
Scene Capture Type              : Standard
Gain Control                    : None
Contrast                        : Normal
Saturation                      : Normal
Sharpness                       : Normal
Device Setting Description      : (Binary data 4 bytes, use -b option to extract)
Subject Distance Range          : Unknown
GPS Version ID                  : 0.0.0.0
GPS Latitude Ref                : North
GPS Longitude Ref               : East
GPS Altitude Ref                : Above Sea Level
XP Comment                      : 0.91.142
XP Keywords                     : N
Serial Number                   : ffff5b7fffff1bff74ffff12ff306f24
Compression                     : JPEG (old-style)
Thumbnail Offset                : 41984
Thumbnail Length                : 7661
About                           : DJI Meta Data
Format                          : image/jpeg
Absolute Altitude               : +274.67
Relative Altitude               : +7.10
Gimbal Roll Degree              : +0.00
Gimbal Yaw Degree               : +93.00
Gimbal Pitch Degree             : -6.60
Flight Roll Degree              : +0.10
Flight Yaw Degree               : +92.80
Flight Pitch Degree             : +0.60
Flight X Speed                  : +0.00
Flight Y Speed                  : +0.00
Flight Z Speed                  : +0.00
Cam Reverse                     : 0
Gimbal Reverse                  : 0
Version                         : 7.0
Has Settings                    : False
Has Crop                        : False
Already Applied                 : False
MPF Version                     : 0010
Number Of Images                : 2
MP Image Flags                  : Dependent child image
MP Image Format                 : JPEG
MP Image Type                   : Large Thumbnail (VGA equivalent)
MP Image Length                 : 268583
MP Image Start                  : 4898590
Dependent Image 1 Entry Number  : 0
Dependent Image 2 Entry Number  : 0
Image UID List                  : (Binary data 66 bytes, use -b option to extract)
Total Frames                    : 1
Image Width                     : 4000
Image Height                    : 3000
Encoding Process                : Baseline DCT, Huffman coding
Bits Per Sample                 : 8
Color Components                : 3
Y Cb Cr Sub Sampling            : YCbCr4:2:2 (2 1)
Aperture                        : 2.8
Image Size                      : 4000x3000
Megapixels                      : 12.0
Scale Factor To 35 mm Equivalent: 5.5
Shutter Speed                   : 1/690
Thumbnail Image                 : (Binary data 7661 bytes, use -b option to extract)
GPS Altitude                    : 274.6 m Above Sea Level
GPS Latitude                    : 43 deg 41' 50.03" N
GPS Longitude                   : 2 deg 13' 24.39" E
Preview Image                   : (Binary data 268583 bytes, use -b option to extract)
Circle Of Confusion             : 0.005 mm
Field Of View                   : 84.0 deg
Focal Length                    : 3.6 mm (35 mm equivalent: 20.0 mm)
GPS Position                    : 43 deg 41' 50.03" N, 2 deg 13' 24.39" E
Hyperfocal Distance             : 0.86 m
Light Value                     : 12.4
